,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5231.0,52.31
plant,6983.0,69.83,3712.0,53.15766862380066
bacteria,1041.0,10.41,635.0,60.99903938520653
fungi,1187.0,11.87,755.0,63.60572872788543
animal,75.0,0.75,61.0,81.33333333333333
marine,714.0,7.14,369.0,51.680672268907564
