,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5143.0,51.43
plant,6905.0,69.05,3619.0,52.4112961622013
bacteria,1084.0,10.84,652.0,60.14760147601476
fungi,1226.0,12.26,741.0,60.44045676998369
animal,92.0,0.92,73.0,79.34782608695652
marine,693.0,6.93,359.0,51.8037518037518
