,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5177.0,51.77
plant,6880.0,68.8,3632.0,52.7906976744186
bacteria,1087.0,10.87,673.0,61.913523459061636
fungi,1249.0,12.49,764.0,61.16893514811849
animal,86.0,0.86,73.0,84.88372093023256
marine,698.0,6.98,349.0,50.0
