,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5113.0,51.13
plant,6899.0,68.99,3557.0,51.55819684012176
bacteria,1080.0,10.8,652.0,60.370370370370374
fungi,1279.0,12.79,778.0,60.82877247849883
animal,75.0,0.75,61.0,81.33333333333333
marine,667.0,6.67,383.0,57.42128935532234
