,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5089.0,50.89
plant,6934.0,69.34,3617.0,52.163253533314105
bacteria,1059.0,10.59,635.0,59.96222851746931
fungi,1214.0,12.14,719.0,59.225700164744644
animal,104.0,1.04,83.0,79.8076923076923
marine,689.0,6.89,349.0,50.653120464441216
