,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5225.0,52.25
plant,6916.0,69.16,3640.0,52.63157894736842
bacteria,1063.0,10.63,667.0,62.74694261523989
fungi,1243.0,12.43,768.0,61.786001609010455
animal,85.0,0.85,68.0,80.0
marine,693.0,6.93,364.0,52.525252525252526
