,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5129.0,51.29
plant,6935.0,69.35,3583.0,51.665465032444125
bacteria,1054.0,10.54,663.0,62.903225806451616
fungi,1261.0,12.61,771.0,61.141950832672485
animal,78.0,0.78,61.0,78.2051282051282
marine,672.0,6.72,352.0,52.38095238095238
