,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5058.0,50.58
plant,6991.0,69.91,3584.0,51.26591331712201
bacteria,1086.0,10.86,634.0,58.37937384898711
fungi,1217.0,12.17,761.0,62.53081347576006
animal,81.0,0.81,65.0,80.24691358024691
marine,625.0,6.25,327.0,52.32
