,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5134.0,51.34
plant,6918.0,69.18,3566.0,51.54668979473836
bacteria,1039.0,10.39,655.0,63.04138594802695
fungi,1257.0,12.57,781.0,62.13206046141607
animal,82.0,0.82,71.0,86.58536585365853
marine,704.0,7.04,383.0,54.40340909090909
