,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5103.0,51.03
plant,6951.0,69.51,3577.0,51.46022155085599
bacteria,1047.0,10.47,624.0,59.598853868194844
fungi,1232.0,12.32,746.0,60.55194805194805
animal,89.0,0.89,75.0,84.26966292134831
marine,681.0,6.81,385.0,56.5345080763583
