,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5058.0,50.58
plant,6943.0,69.43,3504.0,50.46809736425176
bacteria,1096.0,10.96,678.0,61.86131386861314
fungi,1193.0,11.93,736.0,61.6932103939648
animal,98.0,0.98,83.0,84.6938775510204
marine,670.0,6.7,358.0,53.43283582089552
