,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5171.0,51.71
plant,6829.0,68.29,3571.0,52.291697173817546
bacteria,1080.0,10.8,659.0,61.01851851851852
fungi,1309.0,13.09,794.0,60.65699006875477
animal,85.0,0.85,67.0,78.82352941176471
marine,697.0,6.97,376.0,53.9454806312769
