,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5046.0,50.46
plant,6925.0,69.25,3513.0,50.72924187725632
bacteria,1113.0,11.13,691.0,62.084456424079065
fungi,1192.0,11.92,749.0,62.83557046979866
animal,78.0,0.78,62.0,79.48717948717949
marine,692.0,6.92,356.0,51.445086705202314
