,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5103.0,51.03
plant,6914.0,69.14,3583.0,51.82238935493202
bacteria,1089.0,10.89,632.0,58.03489439853076
fungi,1254.0,12.54,766.0,61.08452950558214
animal,91.0,0.91,75.0,82.41758241758242
marine,652.0,6.52,362.0,55.52147239263804
