,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5174.0,51.74
plant,6930.0,69.3,3643.0,52.56854256854257
bacteria,1128.0,11.28,684.0,60.638297872340424
fungi,1221.0,12.21,725.0,59.37755937755938
animal,89.0,0.89,70.0,78.65168539325843
marine,632.0,6.32,346.0,54.74683544303797
