,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,10000.0,100.0,5192.0,51.92
plant,6989.0,69.89,3670.0,52.51108885391329
bacteria,996.0,9.96,623.0,62.55020080321285
fungi,1242.0,12.42,769.0,61.91626409017714
animal,84.0,0.84,59.0,70.23809523809524
marine,689.0,6.89,370.0,53.70101596516691
