,Number of compounds,Dataset %,Number of scaffolds,Scaffold diversity %
all,129869.0,100.0,31567.0,24.306801469172783
plant,90096.0,69.37452355835495,22122.0,24.55380927011188
bacteria,13874.0,10.683072942734603,4060.0,29.263370332996974
fungi,15938.0,12.272366769590896,4971.0,31.18960973773372
animal,1085.0,0.8354572684782358,536.0,49.40092165898618
marine,8876.0,6.83457946084131,2443.0,27.52365930599369
