,SMILES
148,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21
151,O=C(O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCO
152,CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@]12C
153,Cc1ccc(/C=C2\C(=O)[C@]3(C)CC[C@H]2C3(C)C)cc1
155,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccc(F)cc1)c1ccc(F)cc1)C2
156,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O
157,NC(=O)c1cccc(N)c1
159,OCCCNc1ccccc1
161,C=CCN1CCN(c2nc3ccccc3nc2C#N)CC1
163,O=[N+]([O-])c1cccc2c(Br)[nH]nc12
166,CC1(C)[C@H]2CC[C@@]1(C)C(=O)[C@H]2Br
167,O=C(O)C(O)=CBr
170,N[C@@H](C(=O)O)c1ccc(O)c(C(=O)O)c1
172,N[C@H](C(=O)O)c1ccc(O)c(C(=O)O)c1
174,CN1[C@H]2CC[C@@H]1C[C@H](O[C@H](c1ccccc1)c1ccc(Cl)cc1)C2
175,Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
176,Nc1nccc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O
179,O=c1cc(O)ccn1[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
180,CC[C@@](O)(CC(N)=O)c1ccccc1
181,O=C(O)CCCc1c[nH]c2ccccc12
182,Cc1cc(C(=O)O)sc1[C@@H](N)C(=O)O
184,C[C@@H](CN)CC(=O)O
186,Cn1cnc(=N)c2[nH]cnc21
188,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c([nH]c4ccccc43)c2=O)CC1
190,Clc1cccc(/C=N/N=C/c2cccc(Cl)c2)c1
192,c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1
194,N[C@@H](C(=O)O)c1ccc(C(=O)O)c(C(=O)O)c1
198,N[C@H](C(=O)O)c1ccc(C(=O)O)c(C(=O)O)c1
200,O=[N+]([O-])/C=C/c1ccc2c(c1)OCO2
202,N[C@H](C(=O)O)c1cc(O)cc(O)c1
204,O=C(CCCN1CCC2(CC1)C(=O)N(Cc1cccc(F)c1)CN2c1ccccc1)c1ccc(F)cc1
207,O=C(/C=C/c1cccnc1)c1ccncc1
208,O=C(c1ccc(F)cc1)C1CCN(CCCCc2ccccc2)CC1
211,NCc1ccc(C(=O)O)cc1
212,CC(=O)N1CC[N+](C)(C)CC1
214,Nc1ccc(C(=O)NCC(=O)O)cc1
219,N[C@@H](C(=O)O)c1ccc(C(=O)O)c(O)c1
221,N[C@H](C(=O)O)c1ccc(C(=O)O)c(O)c1
223,N=C(N)Nc1ccc(Cl)cc1
225,CC(C)[C@@H](C(=O)Nc1nccs1)c1ccc(Cl)cc1
227,C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1
229,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
230,O=c1nc[nH]c2ccccc12
232,Cc1c(O)c(=O)n(-c2ccccc2)n1C
234,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc(I)cc1
