,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
Mean,0.112565525,0.34366235,0.074706994,0.41428742,0.14812447,0.19796534,0.2790972,0.01969849,0.060030587,0.4134083,0.193423,0.23209696,0.12732838,0.49269578,0.0853844,0.0706816,0.050423346,0.1254247,0.7466562,0.5763312
STD,0.048540864,0.17347176,0.07562978,0.14946833,0.072524056,0.1113962,0.15018046,0.030249767,0.048970077,0.16390716,0.11285616,0.14224772,0.08535031,0.18223546,0.04912958,0.043210663,0.020845199,0.060031828,0.27831912,0.29885346
Median,0.10810811,0.32673267,0.05479452,0.41025642,0.13793103,0.18479532,0.26372316,0.0107421875,0.051757812,0.397351,0.17123288,0.20833333,0.114285715,0.5,0.07741117,0.063917525,0.04819277,0.11801242,0.875,0.6325301
Percentile: 5,0.046511628,0.08494209,0.0,0.16981132,0.05263158,0.040892195,0.061904762,0.0,0.0,0.16666667,0.05882353,0.046153847,0.017857144,0.18181819,0.025547445,0.01980198,0.026200874,0.046153847,0.25,0.045454547
Percentile: 10,0.05882353,0.11940298,0.0,0.22222222,0.06818182,0.063725494,0.09475465,0.0,0.009765625,0.21327014,0.07522124,0.06896552,0.032258064,0.25,0.034776438,0.027777778,0.030716723,0.060606062,0.375,0.14754099
Percentile: 15,0.06802721,0.14979757,0.0125,0.25925925,0.07936508,0.082051285,0.121109225,0.0,0.015625,0.24581006,0.08839779,0.0877193,0.044444446,0.30769232,0.04204753,0.03380282,0.033834588,0.07070707,0.46666667,0.2264151
Percentile: 20,0.07526882,0.18079096,0.017391304,0.28846154,0.08928572,0.09832134,0.14421768,0.0009765625,0.022460938,0.2720588,0.10030395,0.10526316,0.055045873,0.33333334,0.048286606,0.03883495,0.036363635,0.07920792,0.5,0.2777778
Percentile: 25,0.08163265,0.21019109,0.023255814,0.31343284,0.09821428,0.11347517,0.16529605,0.001953125,0.02734375,0.295302,0.11151079,0.12280702,0.06521739,0.36363637,0.053819444,0.0433213,0.038610037,0.08648649,0.5,0.31578946
Percentile: 30,0.0875,0.2361111,0.028846154,0.33333334,0.10638298,0.12804878,0.18560338,0.00390625,0.032226562,0.31707317,0.12269939,0.13953489,0.075,0.4,0.05882353,0.0475382,0.040650405,0.093333334,0.53333336,0.36585367
Percentile: 35,0.0927835,0.25903615,0.034782607,0.3548387,0.114583336,0.14234875,0.20526315,0.0048828125,0.038085938,0.3377193,0.13422818,0.15625,0.084745765,0.41666666,0.063589744,0.05162242,0.04255319,0.1,0.625,0.42553192
Percentile: 40,0.09803922,0.28106508,0.04109589,0.37333333,0.12244898,0.15646258,0.22462788,0.0068359375,0.041992188,0.35789475,0.1461318,0.17293233,0.0945946,0.45454547,0.06818182,0.055658627,0.044444446,0.10576923,0.75,0.48
Percentile: 45,0.1030303,0.30357143,0.04761905,0.39215687,0.13043478,0.17056856,0.24415745,0.0087890625,0.046875,0.37748346,0.15841584,0.1904762,0.104347825,0.46153846,0.07272727,0.05972696,0.046296295,0.1119403,0.75,0.5538462
Percentile: 50,0.10810811,0.32673267,0.05479452,0.41025642,0.13793103,0.18479532,0.26372316,0.0107421875,0.051757812,0.397351,0.17123288,0.20833333,0.114285715,0.5,0.07741117,0.063917525,0.04819277,0.11801242,0.875,0.6325301
Percentile: 55,0.11320755,0.3512195,0.0625,0.42857143,0.14634146,0.19940476,0.28373703,0.0126953125,0.057617188,0.4180328,0.18471338,0.22695035,0.125,0.5,0.08231511,0.06828528,0.05009634,0.12418301,0.875,0.703125
Percentile: 60,0.11851852,0.37768242,0.071428575,0.4477612,0.15492958,0.21466666,0.3043478,0.015625,0.0625,0.44,0.19886364,0.24657534,0.13541667,0.53846157,0.087555066,0.072928175,0.052083332,0.13095239,1.0,0.74603176
Percentile: 65,0.12403101,0.40583554,0.08053691,0.4680851,0.16393442,0.23076923,0.32573727,0.018554688,0.068359375,0.46363637,0.21399178,0.26744187,0.14705883,0.5625,0.09327984,0.07793634,0.054205608,0.13793103,1.0,0.78333336
Percentile: 70,0.13023256,0.43571427,0.09090909,0.48979592,0.17391305,0.24817519,0.34873417,0.022460938,0.07421875,0.48945147,0.23052959,0.29015544,0.1594203,0.5833333,0.09967846,0.08346839,0.05652174,0.14569536,1.0,0.80851066
Percentile: 75,0.1369863,0.46829268,0.1037037,0.5125,0.18518518,0.26744187,0.37399876,0.026367188,0.08203125,0.51836735,0.24915825,0.31578946,0.17333333,0.61538464,0.10705394,0.08972393,0.05910543,0.15454546,1.0,0.8305085
Percentile: 80,0.14473684,0.50432277,0.11904762,0.53932583,0.2,0.28947368,0.40282035,0.03125,0.08984375,0.55140185,0.27098322,0.3452381,0.18965517,0.64285713,0.11591695,0.09704142,0.06214689,0.16470589,1.0,0.86440676
Percentile: 85,0.15428571,0.54473686,0.13861386,0.5714286,0.21505377,0.31578946,0.43734178,0.0390625,0.10058594,0.59090906,0.2982456,0.3814433,0.20967741,0.6875,0.12717637,0.10612245,0.065891474,0.17777778,1.0,0.9166667
Percentile: 90,0.16666667,0.5903614,0.16666667,0.609375,0.23728813,0.34935898,0.48168838,0.048828125,0.115234375,0.640625,0.33628318,0.4295302,0.23684211,0.72727275,0.14275256,0.11859444,0.07109005,0.19565217,1.0,0.9375
Percentile: 95,0.19,0.64857143,0.21428572,0.6666667,0.27450982,0.4,0.5499195,0.06738281,0.14160156,0.7096774,0.40384614,0.5037037,0.28070176,0.8,0.16938406,0.13989238,0.08,0.22666667,1.0,0.9807692
