,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
Mean,0.11230789,0.048140995,0.026461521,0.41515407,0.14811288,0.0440784,0.28018042,0.019728642,0.06002179,0.41196597,0.19358422,0.23407885,0.12686467,0.49284452,0.08589033,0.070823595,0.05036602,0.12545599,0.7527672,0.58417535
STD,0.048281703,0.039980758,0.035228822,0.14855245,0.0720165,0.033665825,0.14895543,0.029933512,0.04836125,0.16202307,0.11235939,0.14160521,0.08491685,0.18182226,0.049294602,0.043062977,0.02076868,0.059387714,0.27645317,0.29466987
Median,0.10810811,0.040955633,0.017964073,0.4117647,0.13846155,0.03768116,0.2647956,0.0107421875,0.051757812,0.3963964,0.17167382,0.21052632,0.11392405,0.5,0.077651516,0.06410257,0.048158642,0.11811024,0.875,0.63829786
Percentile: 5,0.045454547,0.007194245,0.0,0.17105263,0.05263158,0.0058027077,0.06257669,0.0,0.0,0.16666667,0.059479553,0.048387095,0.01754386,0.1875,0.025641026,0.01986755,0.026119404,0.046875,0.25,0.046875
Percentile: 10,0.05882353,0.012461059,0.0,0.225,0.06818182,0.010309278,0.09738372,0.0,0.009765625,0.21428572,0.07589286,0.071428575,0.031746034,0.25,0.035426732,0.028017242,0.030710172,0.06122449,0.375,0.16393442
Percentile: 15,0.06779661,0.016806724,0.0,0.26229507,0.08,0.014084507,0.12507172,0.0,0.016601562,0.24637681,0.08902691,0.09016393,0.04411765,0.30769232,0.042857144,0.034013607,0.033846155,0.071428575,0.46666667,0.24390244
Percentile: 20,0.07526882,0.020661157,0.0,0.29113925,0.08943089,0.01754386,0.148908,0.0009765625,0.022460938,0.27203065,0.10086455,0.10784314,0.05479452,0.33333334,0.048986487,0.03900156,0.036363635,0.07978723,0.5,0.2849162
Percentile: 25,0.08163265,0.024193548,0.0,0.31506848,0.09836066,0.020833334,0.17010936,0.001953125,0.028320312,0.29493088,0.112,0.125,0.06521739,0.36363637,0.054347824,0.04347826,0.038610037,0.08695652,0.5,0.33333334
Percentile: 30,0.0875,0.027586207,0.0,0.33766234,0.106796116,0.024096385,0.18967052,0.00390625,0.033203125,0.3167421,0.12307692,0.14166667,0.075,0.4,0.059241705,0.04761905,0.040650405,0.09375,0.5714286,0.3852459
Percentile: 35,0.092857145,0.030864198,0.01,0.3561644,0.114754096,0.0273752,0.20852017,0.0048828125,0.038085938,0.3375,0.13450292,0.15833333,0.08461539,0.41666666,0.063891575,0.05172414,0.04255319,0.1,0.625,0.44680852
Percentile: 40,0.09803922,0.034168564,0.0125,0.375,0.12280702,0.030701755,0.22713688,0.0068359375,0.04296875,0.35714287,0.14642857,0.17525773,0.094339624,0.45454547,0.06842737,0.055762082,0.044444446,0.10606061,0.75,0.5
Percentile: 45,0.10309278,0.0375,0.015151516,0.39285713,0.13043478,0.03411514,0.24577987,0.0087890625,0.047851562,0.37671232,0.15878378,0.19277108,0.104,0.46153846,0.07297688,0.059880238,0.046296295,0.11214953,0.75,0.578125
Percentile: 50,0.10810811,0.040955633,0.017964073,0.4117647,0.13846155,0.03768116,0.2647956,0.0107421875,0.051757812,0.3963964,0.17167382,0.21052632,0.11392405,0.5,0.077651516,0.06410257,0.048158642,0.11811024,0.875,0.63829786
Percentile: 55,0.11320755,0.044585988,0.021276595,0.42857143,0.14666666,0.041420117,0.28434783,0.013671875,0.057617188,0.41666666,0.18518518,0.22950819,0.125,0.5,0.08255452,0.06849315,0.05,0.12418301,0.875,0.7118644
Percentile: 60,0.11851852,0.048442908,0.024691358,0.44871795,0.15517241,0.045454547,0.30448925,0.015625,0.0625,0.4385965,0.199262,0.25,0.13513513,0.53846157,0.08781559,0.07317073,0.052054796,0.13084112,1.0,0.74603176
Percentile: 65,0.12403101,0.05263158,0.028571429,0.46835443,0.1641791,0.049751244,0.3254717,0.018554688,0.068359375,0.46206897,0.21428572,0.27011493,0.14634146,0.5625,0.093596056,0.078175895,0.054166667,0.13793103,1.0,0.78333336
Percentile: 70,0.1300813,0.05732484,0.032786883,0.48979592,0.1744186,0.054545455,0.34776902,0.022460938,0.07421875,0.4875,0.23076923,0.29281768,0.1590909,0.5833333,0.10008628,0.08370436,0.056478404,0.14545454,1.0,0.80851066
Percentile: 75,0.1368421,0.06267806,0.03797468,0.5121951,0.18571429,0.05994898,0.37239945,0.026367188,0.08203125,0.5159011,0.24920128,0.31782946,0.17307693,0.61538464,0.10757315,0.08995816,0.05905512,0.15384616,1.0,0.82978725
Percentile: 80,0.14457831,0.06896552,0.04411765,0.53846157,0.2,0.06626506,0.40084898,0.032226562,0.08984375,0.5485714,0.27090302,0.3469388,0.1891892,0.64285713,0.11658031,0.09726444,0.062068965,0.16438356,1.0,0.86440676
Percentile: 85,0.15384616,0.077120826,0.051948052,0.5692308,0.21481481,0.074074075,0.43549785,0.0390625,0.10058594,0.5875,0.29802513,0.38255033,0.20895523,0.6666667,0.12802768,0.10631229,0.06583072,0.17721519,1.0,0.9137931
Percentile: 90,0.16666667,0.088435374,0.06315789,0.6086956,0.23684211,0.08455882,0.48,0.048828125,0.115234375,0.6363636,0.33561644,0.42990655,0.23595506,0.72727275,0.14376321,0.11875843,0.07098121,0.19480519,1.0,0.9375
Percentile: 95,0.1891892,0.10869565,0.083333336,0.6666667,0.2734375,0.10211267,0.54915434,0.06738281,0.140625,0.7040359,0.4025157,0.5037037,0.2795699,0.8,0.17073171,0.1400862,0.079872206,0.2254902,1.0,0.984127
