,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
Mean,0.11228879,0.3442361,0.074504256,0.41368273,0.1484469,0.19814146,0.27812594,0.019763328,0.06015906,0.41224918,0.19319104,0.23362388,0.12744784,0.49372354,0.08561736,0.070731275,0.050412387,0.12570311,0.7477313,0.5833241
STD,0.048318285,0.17368364,0.075212814,0.14986992,0.0722333,0.111251116,0.14998043,0.030168982,0.048622627,0.16296342,0.1128598,0.14177473,0.08515769,0.18145728,0.049329303,0.04321269,0.020858819,0.059649076,0.27724028,0.2976428
Median,0.107913665,0.32753623,0.05479452,0.41025642,0.13846155,0.18489583,0.2619254,0.0107421875,0.052734375,0.39607844,0.17045455,0.20987654,0.114583336,0.5,0.07740916,0.06399132,0.04819277,0.11827957,0.875,0.64122134
Percentile: 5,0.04597701,0.083333336,0.0,0.16666667,0.05357143,0.040935673,0.06207675,0.0,0.0,0.16818182,0.059210528,0.047872342,0.01754386,0.1875,0.025641026,0.01984127,0.026143791,0.047058824,0.25,0.04761905
Percentile: 10,0.05882353,0.11971831,0.0,0.22058824,0.06849315,0.06417112,0.095744684,0.0,0.009765625,0.21338913,0.075581394,0.071428575,0.032258064,0.25,0.035108957,0.027918782,0.030701755,0.06097561,0.375,0.15384616
Percentile: 15,0.067961164,0.15126051,0.0125,0.2580645,0.08,0.08264463,0.1216545,0.0,0.016601562,0.2455516,0.088607594,0.09009009,0.044444446,0.30769232,0.042394016,0.033860046,0.033834588,0.071428575,0.46153846,0.23529412
Percentile: 20,0.07526882,0.18309858,0.01724138,0.28787878,0.08955224,0.098958336,0.14466816,0.0009765625,0.022460938,0.2712766,0.10037175,0.10769231,0.055555556,0.33333334,0.048494983,0.03883495,0.036363635,0.0794702,0.5,0.28
Percentile: 25,0.08163265,0.21115538,0.022988506,0.3125,0.09859155,0.11409396,0.16571131,0.001953125,0.02734375,0.29411766,0.11111111,0.125,0.06557377,0.36363637,0.05385557,0.04328018,0.038610037,0.08695652,0.5,0.32240438
Percentile: 30,0.08737864,0.2361111,0.028571429,0.33333334,0.10714286,0.12857144,0.18548387,0.00390625,0.033203125,0.31578946,0.122340426,0.14159292,0.0754717,0.4,0.05878031,0.047477745,0.040650405,0.09352518,0.53846157,0.37815127
Percentile: 35,0.09271523,0.2593985,0.03448276,0.35416666,0.114754096,0.14285715,0.20476706,0.0048828125,0.038085938,0.3364929,0.13364056,0.15789473,0.08510638,0.41666666,0.06344411,0.05154639,0.042596348,0.1,0.625,0.44
Percentile: 40,0.097826086,0.2819149,0.040816326,0.37313432,0.12280702,0.15681234,0.22376874,0.0068359375,0.04296875,0.35655737,0.14545454,0.17486338,0.094827585,0.45454547,0.06802721,0.055627424,0.044444446,0.105960265,0.75,0.5
Percentile: 45,0.10294118,0.30448717,0.04761905,0.3918919,0.13043478,0.17079207,0.24281392,0.0087890625,0.047851562,0.37623763,0.15769231,0.19209039,0.104477614,0.46666667,0.072644725,0.059753954,0.046332046,0.11214953,0.75,0.57961786
Percentile: 50,0.107913665,0.32753623,0.05479452,0.41025642,0.13846155,0.18489583,0.2619254,0.0107421875,0.052734375,0.39607844,0.17045455,0.20987654,0.114583336,0.5,0.07740916,0.06399132,0.04819277,0.11827957,0.875,0.64122134
Percentile: 55,0.11304348,0.3516129,0.0625,0.42857143,0.14666666,0.19936709,0.28150135,0.0126953125,0.057617188,0.41666666,0.18390805,0.22839506,0.125,0.5,0.08239701,0.06841339,0.050125312,0.125,0.875,0.7169811
Percentile: 60,0.1183432,0.3776596,0.071428575,0.4477612,0.1553398,0.21455939,0.30182073,0.015625,0.0625,0.43842363,0.1981132,0.24793388,0.13559322,0.53846157,0.0877193,0.07309322,0.05210421,0.13103448,1.0,0.74603176
Percentile: 65,0.123809524,0.40571427,0.08045977,0.46774194,0.16438356,0.23062731,0.32308656,0.018554688,0.068359375,0.46190476,0.21333334,0.26881722,0.14705883,0.5625,0.093541205,0.078125,0.054226477,0.13793103,1.0,0.78571427
Percentile: 70,0.12987013,0.43555555,0.09090909,0.4893617,0.17460318,0.24804991,0.34566146,0.022460938,0.07519531,0.4875,0.22996515,0.29166666,0.15957446,0.5833333,0.1,0.08367627,0.056530215,0.14583333,1.0,0.8095238
Percentile: 75,0.13664596,0.4680851,0.10344828,0.5116279,0.18571429,0.2673611,0.37072244,0.026367188,0.08203125,0.516129,0.24867725,0.31683168,0.1736111,0.61538464,0.10755336,0.08993289,0.0591133,0.15463917,1.0,0.8333333
Percentile: 80,0.14444445,0.50482315,0.11881188,0.53846157,0.2,0.28939828,0.39976135,0.032226562,0.09082031,0.5492958,0.2706767,0.34615386,0.18987341,0.64285713,0.116541356,0.09725401,0.06214689,0.16483517,1.0,0.86440676
Percentile: 85,0.15384616,0.54642856,0.13846155,0.56962025,0.21538462,0.31560284,0.43508214,0.0390625,0.10058594,0.58878505,0.29816514,0.38194445,0.20987654,0.6875,0.12790698,0.10628019,0.065891474,0.1779661,1.0,0.9206349
Percentile: 90,0.16666667,0.5927711,0.16666667,0.6097561,0.23728813,0.34934497,0.48119035,0.048828125,0.115234375,0.6388889,0.33628318,0.42975205,0.23684211,0.72727275,0.14351852,0.11859296,0.07106599,0.19587629,1.0,0.9375
Percentile: 95,0.18947369,0.65011823,0.21428572,0.6666667,0.27450982,0.40026775,0.55156493,0.06738281,0.140625,0.7078652,0.40425533,0.503937,0.28070176,0.8,0.16999261,0.13983051,0.08,0.22680412,1.0,0.984127
