,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
Mean,0.11248933,0.047861766,0.02634139,0.41401452,0.14828648,0.044357624,0.27858138,0.01967982,0.060076613,0.41078323,0.19315603,0.23352845,0.1267767,0.49361813,0.08538016,0.070557304,0.050378814,0.12524101,0.7449117,0.5786827
STD,0.04807861,0.039634008,0.035099633,0.14900935,0.0722616,0.033432387,0.14838615,0.029753035,0.048402593,0.16204202,0.11277311,0.14224653,0.085012875,0.18152177,0.048527244,0.04260825,0.020357734,0.05947196,0.2799563,0.29818735
Median,0.10810811,0.040650405,0.017857144,0.4090909,0.13846155,0.038004752,0.26232877,0.0107421875,0.052734375,0.39444444,0.17058824,0.20967741,0.11382114,0.5,0.077241376,0.06380368,0.04819277,0.11764706,0.875,0.63829786
Percentile: 5,0.046511628,0.007246377,0.0,0.171875,0.05263158,0.0060698027,0.06451613,0.0,0.0,0.16778524,0.05964912,0.046875,0.01754386,0.1875,0.026446281,0.020304568,0.02631579,0.046511628,0.21428572,0.03125
Percentile: 10,0.059322033,0.012448133,0.0,0.22413793,0.06779661,0.010600707,0.09794136,0.0,0.009765625,0.21333334,0.07575758,0.07,0.031746034,0.25,0.035714287,0.028213166,0.03084833,0.060606062,0.375,0.15254237
Percentile: 15,0.06818182,0.016746411,0.0,0.26,0.07936508,0.01438849,0.12446959,0.0,0.016601562,0.24537037,0.08863636,0.08943089,0.04347826,0.30769232,0.042918455,0.034129694,0.033955857,0.07079646,0.46153846,0.23383084
Percentile: 20,0.0754717,0.020547945,0.0,0.2888889,0.08928572,0.017857144,0.14691943,0.0009765625,0.022460938,0.27108434,0.100271,0.10714286,0.054545455,0.33333334,0.04893617,0.039087947,0.036458332,0.07920792,0.5,0.27868852
Percentile: 25,0.08181818,0.024096385,0.0,0.31343284,0.09836066,0.021186441,0.16742493,0.001953125,0.02734375,0.29385966,0.11111111,0.125,0.064935066,0.36363637,0.05421687,0.04347826,0.038674034,0.086538464,0.5,0.31914893
Percentile: 30,0.0875,0.027439024,0.0,0.33333334,0.10666667,0.024439918,0.18685447,0.00390625,0.033203125,0.31543624,0.12230216,0.14117648,0.075,0.4,0.05905512,0.04761905,0.040697675,0.093333334,0.53333336,0.37168142
Percentile: 35,0.092857145,0.030690538,0.00990099,0.35416666,0.114754096,0.027710844,0.2059387,0.0048828125,0.038085938,0.33596838,0.13372093,0.1576087,0.084745765,0.41666666,0.06363636,0.051630434,0.04263566,0.1,0.625,0.43137255
Percentile: 40,0.09803922,0.033950616,0.012345679,0.37288135,0.12280702,0.031034483,0.2247765,0.0068359375,0.04296875,0.35576922,0.14556962,0.17435898,0.094339624,0.45454547,0.06812652,0.055555556,0.04450262,0.10569106,0.75,0.4909091
Percentile: 45,0.10309278,0.037249282,0.014925373,0.39130434,0.13043478,0.03448276,0.24337748,0.0087890625,0.047851562,0.375,0.15789473,0.19166666,0.103896104,0.46666667,0.07261825,0.059642147,0.046332046,0.111801244,0.75,0.56666666
Percentile: 50,0.10810811,0.040650405,0.017857144,0.4090909,0.13846155,0.038004752,0.26232877,0.0107421875,0.052734375,0.39444444,0.17058824,0.20967741,0.11382114,0.5,0.077241376,0.06380368,0.04819277,0.11764706,0.875,0.63829786
Percentile: 55,0.11320755,0.044226043,0.021052632,0.42857143,0.14705883,0.041749503,0.28182545,0.0126953125,0.057617188,0.41463414,0.184,0.22839506,0.123893805,0.5,0.08210181,0.06818182,0.05009634,0.12396694,0.875,0.7058824
Percentile: 60,0.118421055,0.048076924,0.024390243,0.44680852,0.15555556,0.045751635,0.30196345,0.015625,0.0625,0.4360465,0.1981132,0.24806201,0.13461539,0.53846157,0.08730159,0.0728022,0.052083332,0.13043478,1.0,0.74603176
Percentile: 65,0.12396694,0.052238807,0.028301887,0.46666667,0.16438356,0.05,0.32307693,0.018554688,0.068359375,0.45901638,0.21327014,0.26923078,0.14634146,0.5625,0.093,0.07780612,0.054176074,0.13761468,1.0,0.78333336
Percentile: 70,0.1300813,0.056886226,0.032608695,0.4883721,0.17460318,0.05485232,0.3456434,0.022460938,0.07519531,0.48447204,0.22982885,0.2923077,0.15873016,0.5833333,0.099378884,0.083333336,0.056470588,0.14534883,1.0,0.80851066
Percentile: 75,0.1368421,0.062200956,0.03773585,0.51111114,0.18604651,0.060240965,0.37052932,0.026367188,0.08203125,0.51304346,0.24852072,0.31782946,0.17266187,0.61538464,0.10678098,0.08953168,0.05904059,0.15384616,1.0,0.82857144
Percentile: 80,0.14457831,0.06854839,0.04385965,0.53846157,0.2,0.06655844,0.3992467,0.032226562,0.09082031,0.5461847,0.27040815,0.3472222,0.18888889,0.64285713,0.11567164,0.09677419,0.062043797,0.16455697,1.0,0.8636364
Percentile: 85,0.15384616,0.07662835,0.05172414,0.5692308,0.21538462,0.0743034,0.43383685,0.0390625,0.10058594,0.5862069,0.29773462,0.38297874,0.20895523,0.6875,0.12689546,0.10576923,0.06576729,0.17741935,1.0,0.91525424
Percentile: 90,0.16666667,0.088,0.062992126,0.609375,0.23728813,0.084745765,0.47892272,0.048828125,0.115234375,0.6363636,0.33571428,0.43037975,0.2361111,0.72727275,0.14230019,0.11798561,0.070886075,0.1953125,1.0,0.9375
Percentile: 95,0.18965517,0.108312346,0.083333336,0.6666667,0.27450982,0.10224439,0.5483871,0.06738281,0.140625,0.70625,0.40361446,0.50427353,0.28,0.8,0.16848567,0.13897763,0.07973422,0.22619048,1.0,0.983871
