,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
Mean,0.11222974,0.04774437,0.026412247,0.41257066,0.1483404,0.043872613,0.2773693,0.019703433,0.060041856,0.41101938,0.19350377,0.23504135,0.12634301,0.491987,0.085115485,0.07030683,0.05024402,0.12533398,0.747776,0.5811912
STD,0.04808049,0.03984969,0.035067987,0.14962833,0.0720787,0.033328354,0.15010066,0.029733635,0.048316054,0.16188191,0.113162965,0.14186859,0.08499474,0.18119046,0.049258213,0.042979583,0.02063256,0.05944194,0.27839297,0.29789826
Median,0.10810811,0.04057971,0.018018018,0.40816328,0.13846155,0.03748126,0.26183283,0.0107421875,0.052734375,0.39636365,0.17084283,0.2117117,0.11320755,0.5,0.076696165,0.063360885,0.048022598,0.11764706,0.875,0.63829786
Percentile: 5,0.045801528,0.0068965517,0.0,0.16901408,0.05357143,0.0060790274,0.059920054,0.0,0.0,0.16666667,0.0591716,0.049295776,0.01724138,0.1875,0.025559105,0.019762846,0.026041666,0.046666667,0.21428572,0.030927835
Percentile: 10,0.05882353,0.012121212,0.0,0.22077923,0.06849315,0.010465116,0.09398496,0.0,0.009765625,0.21212122,0.07537688,0.071428575,0.03125,0.25,0.03469388,0.027548209,0.030567685,0.06097561,0.375,0.15697674
Percentile: 15,0.06779661,0.016460905,0.0,0.25714287,0.08,0.014184397,0.12022472,0.0,0.016601562,0.24444444,0.088435374,0.09090909,0.04347826,0.30769232,0.041736227,0.033407573,0.033678755,0.071428575,0.46666667,0.23529412
Percentile: 20,0.07526882,0.020325202,0.0,0.2857143,0.08955224,0.017571885,0.14309211,0.0009765625,0.022460938,0.27071825,0.1,0.10869565,0.054347824,0.33333334,0.04774536,0.038348082,0.036231883,0.0794702,0.5,0.2797619
Percentile: 25,0.08163265,0.023880597,0.0,0.31111112,0.09836066,0.020833334,0.16466552,0.001953125,0.02734375,0.29411766,0.11111111,0.12598425,0.06451613,0.36363637,0.05312869,0.04278075,0.03846154,0.08695652,0.5,0.32352942
Percentile: 30,0.08737864,0.027247956,0.0,0.33333334,0.106796116,0.024054984,0.18500407,0.00390625,0.033203125,0.31578946,0.122340426,0.14285715,0.074074075,0.4,0.058096416,0.04694836,0.04049296,0.093457945,0.5714286,0.375
Percentile: 35,0.0927835,0.030534351,0.00990099,0.3529412,0.114754096,0.027272727,0.20460704,0.0048828125,0.038085938,0.33678755,0.13368984,0.1590909,0.084033616,0.41666666,0.062801935,0.050997782,0.042424243,0.1,0.625,0.4375
Percentile: 40,0.0979021,0.033816423,0.0125,0.37179488,0.12280702,0.030567685,0.22383721,0.0068359375,0.04296875,0.35714287,0.14551084,0.17610063,0.09375,0.44444445,0.067391306,0.055028465,0.044303797,0.10576923,0.75,0.4918033
Percentile: 45,0.10294118,0.0371517,0.015037594,0.3898305,0.13043478,0.033950616,0.24279615,0.0087890625,0.047851562,0.3768116,0.15789473,0.19354838,0.10344828,0.46153846,0.07198443,0.059139784,0.046153847,0.1118421,0.75,0.5714286
Percentile: 50,0.10810811,0.04057971,0.018018018,0.40816328,0.13846155,0.03748126,0.26183283,0.0107421875,0.052734375,0.39636365,0.17084283,0.2117117,0.11320755,0.5,0.076696165,0.063360885,0.048022598,0.11764706,0.875,0.63829786
Percentile: 55,0.11320755,0.04418605,0.021276595,0.42647058,0.14666666,0.04117647,0.28127313,0.0126953125,0.057617188,0.41666666,0.18435754,0.23076923,0.12345679,0.5,0.081654295,0.06779661,0.05,0.123893805,0.875,0.71428573
Percentile: 60,0.118421055,0.048034936,0.024590164,0.44594595,0.15517241,0.045138888,0.30146492,0.015625,0.0625,0.4379562,0.19863014,0.25,0.13432837,0.53846157,0.086988844,0.07248521,0.051918738,0.13043478,1.0,0.74603176
Percentile: 65,0.123893805,0.052238807,0.028571429,0.46575344,0.1641791,0.04942966,0.3227612,0.018554688,0.068359375,0.46086955,0.21386139,0.27102804,0.14583333,0.5555556,0.09283196,0.07756024,0.054054055,0.13761468,1.0,0.78333336
Percentile: 70,0.13,0.056886226,0.032786883,0.4878049,0.1744186,0.05416116,0.34553283,0.022460938,0.07421875,0.4858757,0.23051947,0.2937853,0.15841584,0.5833333,0.099395566,0.083153345,0.056338027,0.14529915,1.0,0.8095238
Percentile: 75,0.13675214,0.062211983,0.03787879,0.5102041,0.18571429,0.05952381,0.37024683,0.026367188,0.08203125,0.5140187,0.24936387,0.31914893,0.1724138,0.61538464,0.10696095,0.08947369,0.058956917,0.15384616,1.0,0.82978725
Percentile: 80,0.14457831,0.06853583,0.04411765,0.537037,0.2,0.065789476,0.39862147,0.032226562,0.08984375,0.54672897,0.27142859,0.3483871,0.18867925,0.64285713,0.11600928,0.09686099,0.061971832,0.16447368,1.0,0.86440676
Percentile: 85,0.15384616,0.076576576,0.051948052,0.5686275,0.21538462,0.073529415,0.43349755,0.0390625,0.10058594,0.5859375,0.29896906,0.3838384,0.20895523,0.6666667,0.12750143,0.10604113,0.065743946,0.17730497,1.0,0.91935486
Percentile: 90,0.16666667,0.087878786,0.06306306,0.6081081,0.23728813,0.084033616,0.4790528,0.048828125,0.115234375,0.6347305,0.3372781,0.43103448,0.23571429,0.72727275,0.14347291,0.11865672,0.07092199,0.19512194,1.0,0.9375
Percentile: 95,0.18902439,0.10810811,0.083333336,0.6666667,0.27450982,0.10154241,0.54966885,0.06738281,0.140625,0.7027027,0.4050633,0.5045872,0.27941176,0.8,0.1706684,0.14019293,0.07984293,0.22619048,1.0,0.984127
